classification,score,max_score,blur_score,contrast_score,brightness_score,noise_score,text_percentage,reasons,filename
clear,10,10,136.49421950262877,54.94118441759838,150.71875852964644,2.2790364029569132,99.79767924723902,[],03ea7a69-c091-4882-ba9f-65fab193ffc0_1753446466752.jpg
clear,10,10,382.55723481236754,67.87031536018813,135.12792443848682,3.267843512474328,99.8647394914756,[],03ea7a69-c091-4882-ba9f-65fab193ffc0_1753895783127.jpg
clear,7,10,41.65477459401938,47.415552408462176,150.9424095496609,1.191801854347298,99.42661092214664,[],03ea7a69-c091-4882-ba9f-65fab193ffc0_1753953527841.jpg
clear,10,10,750.4551914901964,96.74608505859922,110.50523974539662,4.360445843752695,99.77382904357731,[],03ea7a69-c091-4882-ba9f-65fab193ffc0_1753959530626.jpg
clear,10,10,927.6379198733941,96.45371497546788,108.4387401613809,4.889407890349795,99.77982850161669,[],03ea7a69-c091-4882-ba9f-65fab193ffc0_1753959629301.jpg
clear,10,10,1505.8208215040902,90.48540076351175,176.53428787670816,7.527406081845814,89.43253568814056,[],0908e4a0-225f-4df3-9340-e015092101b9_1754071115724.png
clear,10,10,101.26567855612119,36.383023696182434,149.57899477599634,2.392318987864676,99.27143194949612,[],09b1af20-88a9-494c-bccb-04f732450e02_1754210749918.jpg
unclear,4,10,56.28996632900238,18.951345660373917,178.5262484375,1.4949064035337503,94.32249999999999,"['Too blurry (score: 56.3, threshold: 100.0)', 'Low contrast (score: 19.0, threshold: 30.0)']",14f819cc-8570-4b78-aa92-6e1d72da3c6b_1755772194275.jpg
unclear,4,10,56.28996632900238,18.951345660373917,178.5262484375,1.4949064035337503,94.32249999999999,"['Too blurry (score: 56.3, threshold: 100.0)', 'Low contrast (score: 19.0, threshold: 30.0)']",14f819cc-8570-4b78-aa92-6e1d72da3c6b_1755772330908.jpg
unclear,4,10,42.5019401389135,16.152911895791668,192.0079592732988,1.2388817381311494,99.40116108851085,"['Too blurry (score: 42.5, threshold: 100.0)', 'Low contrast (score: 16.2, threshold: 30.0)']",14f819cc-8570-4b78-aa92-6e1d72da3c6b_1755773231723.jpg
unclear,4,10,44.62975752748607,13.432934439841288,191.31670857988166,1.2770078111556407,99.82064379930966,"['Too blurry (score: 44.6, threshold: 100.0)', 'Low contrast (score: 13.4, threshold: 30.0)']",14f819cc-8570-4b78-aa92-6e1d72da3c6b_1755773274721.jpg
clear,7,10,116.69337121145935,24.791784953022454,190.05340367665187,2.237030779776115,98.8696375739645,[],14f819cc-8570-4b78-aa92-6e1d72da3c6b_1755775001387.jpg
clear,7,10,78.78302764410138,36.93056993612461,177.30807168392505,1.677231773608536,99.05476069403353,[],14f819cc-8570-4b78-aa92-6e1d72da3c6b_1756374659790.jpg
clear,10,10,162.50489721776117,33.31897921529999,178.20426482371795,2.6734909237496,99.00417205991124,[],14f819cc-8570-4b78-aa92-6e1d72da3c6b_1756374693779.jpg
clear,10,10,162.50489721776117,33.31897921529999,178.20426482371795,2.6734909237496,99.00417205991124,[],14f819cc-8570-4b78-aa92-6e1d72da3c6b_1756379048064.jpg
unclear,4,10,41.97730813426927,28.0257424038981,133.89242113794566,1.5391323050028423,99.4151826252374,"['Too blurry (score: 42.0, threshold: 100.0)', 'Low contrast (score: 28.0, threshold: 30.0)']",1e2ef77c-53fd-4a48-b455-dc7499e89e91_1755163040135.jpg
clear,7,10,115.85932424772864,27.2650838360364,115.38031059118674,2.5007306490901393,98.77349008975318,[],1e2ef77c-53fd-4a48-b455-dc7499e89e91_1755179463387.jpg
clear,7,10,313.3289035245882,17.134892829602848,139.51756396090406,3.712787523345852,98.75926913746899,[],1ec00083-9567-4e16-93c4-08ff9ed0ea3e_1755884271844.jpg
clear,7,10,313.3289035245882,17.134892829602848,139.51756396090406,3.712787523345852,98.75926913746899,[],1ec00083-9567-4e16-93c4-08ff9ed0ea3e_1755906010145.jpg
clear,7,10,568.5615840474926,20.138002085855636,142.84856114066963,4.958040554128957,99.59128622986196,[],1ec00083-9567-4e16-93c4-08ff9ed0ea3e_1755958395356.jpg
clear,9,10,204.84851248384288,38.608351352455834,163.64495786243612,2.7544679940282166,0.0,[],1ec00083-9567-4e16-93c4-08ff9ed0ea3e_1756223934432.jpg
clear,7,10,147.91976423545353,29.7390118028018,136.2725774541843,2.379010552116692,99.57895467555214,[],1ec00083-9567-4e16-93c4-08ff9ed0ea3e_1756489011568.jpg
clear,10,10,174.21868107625536,51.26269132202367,125.40389747266009,2.5398930519519958,99.6984833557606,[],1ec00083-9567-4e16-93c4-08ff9ed0ea3e_1756744076063.jpg
unclear,4,10,7.590244588756076,15.525087341939333,193.6155770914397,0.5257842815961532,99.35976410505837,"['Too blurry (score: 7.6, threshold: 100.0)', 'Low contrast (score: 15.5, threshold: 30.0)']",1f29e844-a917-40e3-80d2-545ed7624e0d_1752585941953.jpg
unclear,6,10,94.93469045832283,41.307358176413096,140.96658104895874,2.3443880348924373,0.19897413481307552,"['Too blurry (score: 94.9, threshold: 100.0)', 'Low text content (percentage: 0.2%)']",20bad3c1-e38d-4ca9-9db7-ee57fab85a05_1754447857227.jpg
clear,10,10,139.82944700061014,50.29898983015131,169.32795653948307,2.358240887461487,98.18831540139203,[],2201e254-d2f1-4341-9acf-25bf04baa18f_1755756032165.jpg
clear,10,10,143.21473163430096,68.15709402965688,164.20597176949482,2.4288858712362655,98.79559342062443,[],2201e254-d2f1-4341-9acf-25bf04baa18f_1755756167882.jpg
